timestamp,batt_volt,batt_level,height
1572027900,3.7,85,151
1572028200,3.7,85,151
1572028500,3.7,85,151
1572028800,3.7,85,151
1572029100,3.7,85,151
1572029400,3.7,85,151
1572029700,3.7,85,151
1572030000,3.7,85,151
1572030300,3.7,85,151
1572030600,3.7,85,151
1572030900,3.7,85,151
1572031200,3.7,85,151
1572031500,3.7,85,151
1572031800,3.7,85,151
1572032100,3.7,85,151
1572032400,3.7,85,151
1572032700,3.7,85,151
1572033000,3.7,85,151
1572033300,3.7,85,151
1572033600,3.7,85,151
1572033900,3.7,85,151
1572034200,3.7,85,151
1572034500,3.7,85,151
1572034800,3.7,85,151
1572035100,3.7,85,151
1572035400,3.7,85,151
1572035700,3.7,85,151
1572036000,3.7,85,151
1572036300,3.7,85,151
1572036600,3.7,85,151
1572036900,3.7,85,151
1572037200,3.7,85,151
1572037500,3.7,85,151
1572037800,3.7,85,151
1572038100,3.7,85,151
1572038400,3.7,85,151
1572038700,3.7,85,151
1572039000,3.7,85,151
1572039300,3.7,85,151
1572039600,3.7,85,151
1572039900,3.7,85,151
1572040200,3.7,85,151
1572040500,3.7,85,151
1572040800,3.7,85,151
1572041100,3.7,85,151
1572041400,3.7,85,151
1572041700,3.7,85,151
1572042000,3.7,85,151
1572042300,3.7,85,151
1572042600,3.7,85,151
1572042900,3.7,85,151
1572043200,3.7,85,151
1572043500,3.7,85,151
1572043800,3.7,85,151
1572044100,3.7,85,151
1572044400,3.7,85,151
1572044700,3.7,85,151
1572045000,3.7,85,151
1572045300,3.7,85,151
1572045600,3.7,85,151
1572045900,3.7,85,151
1572046200,3.7,85,151
1572046500,3.7,85,151
1572046800,3.7,85,151
1572047100,3.7,85,151
1572047400,3.7,85,151
1572047700,3.7,85,151
1572048000,3.7,85,151
1572048300,3.7,85,151
1572048600,3.7,85,151
1572048900,3.7,85,151
1572049200,3.7,85,151
1572049500,3.7,85,151
1572049800,3.7,85,151
1572050100,3.7,85,151
1572050400,3.7,85,151
1572050700,3.7,85,151
1572051000,3.7,85,151
1572051300,3.7,85,151
1572051600,3.7,85,151
1572051900,3.7,85,151
1572052200,3.7,85,151
1572052500,3.7,85,151
1572052800,3.7,85,151
1572053100,3.7,85,151
1572053400,3.7,85,151
1572053700,3.7,85,151
1572054000,3.7,85,151
1572054300,3.7,85,151
1572054600,3.7,85,151
1572054900,3.7,85,151
1572055200,3.7,85,151
1572055500,3.7,85,151
1572055800,3.7,85,151
1572056100,3.7,85,151
1572056400,3.7,85,151
1572056700,3.7,85,151
1572057000,3.7,85,151
1572057300,3.7,85,151
1572057600,3.7,85,151
1572057900,3.7,85,151
1572058200,3.7,85,151
1572058500,3.7,85,151
1572058800,3.7,85,151
1572059100,3.7,85,151
1572059400,3.7,85,151
1572059700,3.7,85,151
1572060000,3.7,85,151
1572060300,3.7,85,151
1572060600,3.7,85,151
1572060900,3.7,85,151
1572061200,3.7,85,151
1572061500,3.7,85,151
1572061800,3.7,85,151
1572062100,3.7,85,151
1572062400,3.7,85,151
1572062700,3.7,85,151
1572063000,3.7,85,151
1572063300,3.7,85,151
1572063600,3.7,85,151
1572063900,3.7,85,151
1572064200,3.7,85,151
1572064500,3.7,85,151
1572064800,3.7,85,151
1572065100,3.7,85,151
1572065400,3.7,85,151
1572065700,3.7,85,151
1572066000,3.7,85,151
1572066300,3.7,85,151
1572066600,3.7,85,151
1572066900,3.7,85,151
1572067200,3.7,85,151
1572067500,3.7,85,151
1572067800,3.7,85,151
1572068100,3.7,85,151
1572068400,3.7,85,151
1572068700,3.7,85,151
1572069000,3.7,85,151
1572069300,3.7,85,151
1572069600,3.7,85,151
1572069900,3.7,85,151
1572070200,3.7,85,151
1572070500,3.7,85,151
1572070800,3.7,85,151
1572071100,3.7,85,151
1572071400,3.7,85,151
1572071700,3.7,85,151
1572072000,3.7,85,151
1572072300,3.7,85,151
1572072600,3.7,85,151
1572072900,3.7,85,151
1572073200,3.7,85,151
1572073500,3.7,85,151
1572073800,3.7,85,151
1572074100,3.7,85,151
1572074400,3.7,85,151
1572074700,3.7,85,151
1572075000,3.7,85,151
1572075300,3.7,85,151
1572075600,3.7,85,151
1572075900,3.7,85,151
1572076200,3.7,85,151
1572076500,3.7,85,151
1572076800,3.7,85,151
1572077100,3.7,85,151
1572077400,3.7,85,151
1572077700,3.7,85,151
1572078000,3.7,85,151
1572078300,3.7,85,151
1572078600,3.7,85,151
1572078900,3.7,85,151
1572079200,3.7,85,151
1572079500,3.7,85,151
1572079800,3.7,85,151
1572080100,3.7,85,151
1572080400,3.7,85,151
1572080700,3.7,85,151
1572081000,3.7,85,151
1572081300,3.7,85,151
1572081600,3.7,85,151
1572081900,3.7,85,151
1572082200,3.7,85,151
1572082500,3.7,85,151
1572082800,3.7,85,151
1572083100,3.7,85,151
1572083400,3.7,85,151
1572083700,3.7,85,151
1572084000,3.7,85,151
1572084300,3.7,85,151
1572084600,3.7,85,151
1572084900,3.7,85,151
1572085200,3.7,85,151
1572085500,3.7,85,151
1572085800,3.7,85,151
1572086100,3.7,85,151
1572086400,3.7,85,151
1572086700,3.7,85,151
1572087000,3.7,85,151
1572087300,3.7,85,151
1572087600,3.7,85,151
1572087900,3.7,85,151
1572088200,3.7,85,151
1572088500,3.7,85,151
1572088800,3.7,85,151
1572089100,3.7,85,151
1572089400,3.7,85,151
1572089700,3.7,85,151
1572090000,3.7,85,151
1572090300,3.7,85,151
1572090600,3.7,85,151
1572090900,3.7,85,151
1572091200,3.7,85,151
1572091500,3.7,85,151
1572091800,3.7,85,151
1572092100,3.7,85,151
1572092400,3.7,85,151
1572092700,3.7,85,151
1572093000,3.7,85,151
1572093300,3.7,85,151
1572093600,3.7,85,151
1572093900,3.7,85,151
1572094200,3.7,85,151
1572094500,3.7,85,151
1572094800,3.7,85,151
1572095100,3.7,85,151
1572095400,3.7,85,151
1572095700,3.7,85,151
1572096000,3.7,85,151
1572096300,3.7,85,151
1572096600,3.7,85,151
1572096900,3.7,85,151
1572097200,3.7,85,151
1572097500,3.7,85,151
1572097800,3.7,85,151
1572098100,3.7,85,151
1572098400,3.7,85,151
1572098700,3.7,85,151
1572099000,3.7,85,151
1572099300,3.7,85,151
1572099600,3.7,85,151
1572099900,3.7,85,151
1572100200,3.7,85,151
1572100500,3.7,85,151
1572100800,3.7,85,151
1572101100,3.7,85,151
1572101400,3.7,85,151
1572101700,3.7,85,151
1572102000,3.7,85,151
1572102300,3.7,85,151
