timestamp,message
1596187264370,"Slope: 0.007875, Current: 144.133942, Previous: 144.015823"
1596187267570,"Number of data points in queue: 0"
1596187276771,", Entering power saving mode. Sleeping for 15 min."
1596188206610,"Slope: -0.007875, Current: 144.015823, Previous: 144.133942"
1596188209650,"Number of data points in queue: 0"
1596188218451,", Entering power saving mode. Sleeping for 15 min."
1596189148130,"Slope: 0.026247, Current: 144.409531, Previous: 144.015823"
1596189151250,"Number of data points in queue: 0"
1596189160371,", Entering power saving mode. Sleeping for 15 min."
1596190090210,"Slope: 0.000000, Current: 144.409531, Previous: 144.409531"
1596190093330,"Number of data points in queue: 0"
1596190103012,", Entering power saving mode. Sleeping for 15 min."
1596191033730,"Slope: -0.007875, Current: 144.291412, Previous: 144.409531"
1596191038132,"Number of data points in queue: 0"
1596191047571,", Entering power saving mode. Sleeping for 15 min."
1596191977250,"Slope: -0.007874, Current: 144.173309, Previous: 144.291412"
1596191980371,"Number of data points in queue: 0"
1596191989412,", Entering power saving mode. Sleeping for 15 min."
1596192919092,"Slope: 0.007874, Current: 144.291412, Previous: 144.173309"
1596192922211,"Number of data points in queue: 0"
1596192931571,", Entering power saving mode. Sleeping for 15 min."
1596193861262,"Slope: -0.015748, Current: 144.055191, Previous: 144.291412"
1596193864370,"Number of data points in queue: 0"
1596193874210,", Entering power saving mode. Sleeping for 15 min."
1596194804930,"Slope: 0.005250, Current: 144.133942, Previous: 144.055191"
1596194808210,"Number of data points in queue: 0"
1596194817650,", Entering power saving mode. Sleeping for 15 min."
1596195747330,"Slope: 0.013123, Current: 144.330780, Previous: 144.133942"
1596195750371,"Number of data points in queue: 0"
1596195760131,", Entering power saving mode. Sleeping for 15 min."
1596196690770,"Slope: -0.010498, Current: 144.173309, Previous: 144.330780"
1596196693890,"Number of data points in queue: 0"
1596196703570,", Entering power saving mode. Sleeping for 15 min."
1596197635330,"Slope: -0.015748, Current: 143.937088, Previous: 144.173309"
1596197638691,"Number of data points in queue: 0"
1596197648291,", Entering power saving mode. Sleeping for 15 min."
1596198582050,"Slope: 0.005249, Current: 144.015823, Previous: 143.937088"
1596198585250,"Number of data points in queue: 0"
1596198594530,", Entering power saving mode. Sleeping for 15 min."
1596199524131,"Slope: -0.002625, Current: 143.976456, Previous: 144.015823"
1596199527331,"Number of data points in queue: 0"
1596199536930,", Entering power saving mode. Sleeping for 15 min."
1596200467572,"Slope: 0.000000, Current: 143.976456, Previous: 143.976456"
1596200470939,"Number of data points in queue: 0"
1596200480131,", Entering power saving mode. Sleeping for 15 min."
1596201410850,"Slope: -1.910762, Current: 115.315025, Previous: 143.976456"
1596201414050,"Number of data points in queue: 0"
1596201423490,", Entering power saving mode. Sleeping for 15 min."
1596202353170,"Slope: 0.034121, Current: 115.826836, Previous: 115.315025"
